City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,acarau,-2.8856,-40.12,25.18,84,10,8.35,BR,1727399454
335,santa cruz,-17.8,-63.1667,20.75,55,86,9.31,BO,1727399649
336,mpanda,-6.3655,31.0409,21.1,36,73,0.52,TZ,1727399650
337,tarawa,1.419,172.984,32.05,58,20,3.09,KI,1727399651
338,firozpur jhirka,27.8,76.95,24.86,91,56,4.04,IN,1727399652
339,uzgen,40.7699,73.3007,14.62,75,100,2.54,KG,1727399653
340,moree,-29.4667,149.85,15.51,67,100,5.94,AU,1727399654
341,necochea,-38.5473,-58.7368,6.41,54,0,4.02,AR,1727399655
342,xilin hot,43.9667,116.0333,15.01,69,0,3.48,CN,1727399656
343,dauphin,51.1494,-100.0502,26.08,31,0,10.8,CA,1727399595
344,vorkuta,67.5,64.0,5.55,99,100,4.56,RU,1727399660
345,port hedland,-20.3167,118.5667,27.03,69,100,7.2,AU,1727399661
346,mumford,5.2618,-0.759,24.35,92,100,3.18,GH,1727399662
347,ust'-kut,56.7938,105.7672,3.03,57,8,0.92,RU,1727399437
348,le puy-en-velay,45.0437,3.8852,11.26,91,100,3.15,FR,1727399664
349,mahina,-17.5065,-149.489,28.87,74,75,2.57,PF,1727399666
350,sitka,57.0531,-135.33,11.07,68,99,2.03,US,1727399667
351,navas de san juan,38.2351,-3.3538,19.12,86,100,4.55,ES,1727399668
352,midvagur,62.0511,-7.1939,5.46,75,20,5.66,FO,1727399669
353,fale old settlement,-9.3852,-171.2468,25.38,86,100,6.45,TK,1727399670
354,bishkul,54.7803,69.1033,5.36,60,100,3.39,KZ,1727399671
355,new norfolk,-42.7826,147.0587,15.4,46,66,1.97,AU,1727399672
356,lhokseumawe,5.1801,97.1507,25.58,88,100,3.97,ID,1727399673
357,shingu,33.7333,135.9833,26.93,73,90,4.94,JP,1727399675
358,sisimiut,66.9395,-53.6735,5.87,83,95,3.27,GL,1727399676
359,kwali,8.8672,7.005,23.67,94,99,0.64,NG,1727399677
360,roswell,34.0232,-84.3616,21.39,96,100,2.57,US,1727399646
361,khabarovsk,48.4808,135.0928,13.89,72,20,6.0,RU,1727399679
362,soio,-6.1349,12.3689,23.89,87,76,2.65,AO,1727399680
363,kamloops,50.6665,-120.3192,14.55,44,75,2.06,CA,1727399682
364,port lavaca,28.615,-96.6261,26.7,44,0,2.24,US,1727399684
365,nema,57.5067,50.5011,7.51,45,5,3.31,RU,1727399685
